Artist,Community_ID
TLC,0
Missy Elliott,0
Amber Coffman,0
J. Cole,0
Miguel,0
Kendrick Lamar,1
Jay Rock,1
Zacari,1
Thundercat,1
U2,1
Lefty Gunplay,1
George Clinton,1
MC Eiht,1
2 Chainz,2
JAY-Z,2
Drake,2
Jhené Aiko,2
Majid Jordan,2
Kyla,2
Big Sean,2
Wizkid,2
Chantal Kreviazuk,2
Lil Wayne,2
Kid Cudi,3
Kanye West,3
Fivio Foreign,3
Nicki Minaj,3
Sia,3
PARTYNEXTDOOR,3
Chance the Rapper,3
Sampha,3
Ty Dolla $ign,3
Kelly Price,3
Rick Ross,3
070 Shake,3
Raekwon,3
The-Dream,3
Playboi Carti,3
Chris Brown,3
Bon Iver,3
Kirk Franklin,3
VIC MENSA,3
Desiigner,3
Jamie Foxx,3
Rihanna,4
The Weeknd,4
Pharrell Williams,4
Pusha T,4
Casino,4
Tems,4
Future,4
